Protein IDs,Protein names,Gene names,mean log2Foldchange,mean -log10 p-value
P48159,60S ribosomal protein L23,RpL23,2.349834501643441,2.146748656957639
Q0E9B2;A1Z904;A1Z906;E2QCB7;A1Z907;A0A0B4K6Z2;A8DYB7,Dystrobrevin,Dyb,2.347307103834098,2.575890573606316
Q9VDC3,,AP-2sigma,2.345094847759449,3.526849856569864
Q0E981,,Snrk,2.338269403171407,3.564797995887054
Q9V414,,Smg5,2.325451906996334,2.910315165019586
P35220;X2JBG9;Q29QS8,Catenin alpha,alpha-Cat,2.30070179879594,2.452597086155573
Q7JX82,,kermit,2.298527967532151,2.916666239757423
E1JJS2;M9NFH4;Q9VRA6;X2JEI9,,RhoGAP19D,2.225428328385306,2.81876297406989
A4VCL2-1;A0A4D6K5D6;A4VCL2-3;A4VCL2,,CG31145,2.21250134134285,6.824453496789004
A0A0B4KEY6;A0A0B4KFU3;A0A0B4KG58;B7YZJ2;B7YZJ1;E1JH90;A0A0B4KET5;A0A0B4KFA4;E1JH91;A0A0B4KEY4;A1ZAU8-2;A1ZAU8-3;A1ZAU8,Patronin,Patronin,2.17867884854541,2.752072684938661
Q8IQ62;A0A0S0WGZ0;M9PHI5;X2JCJ4,,sif,2.173212549825351,6.371634606366006
Q9V8V8;A1ZBL9;A1ZBL5;E1JGN0;E1JGM9;Q963E6;Q6NPA6;A1ZBL7;Q7YU80;Q963E5;Q9VGP9,,par-1,2.14719889631515,5.292312363194884
Q7KRW8-3;Q7KRW8,Pre-mRNA-processing factor 39,CG1646,2.144724341964583,2.786474141038819
P51140,Segment polarity protein dishevelled,dsh,2.128330634904148,2.04416429985091
L0MPN7;L0MLN1;Q8IMC6-2,,Asator,2.11449901848297,7.822747431266888
Q24253,AP complex subunit beta,AP-1-2beta,2.091287187409485,4.731864074676754
Q709R6-2;Q709R6,,bocks,2.082130549197748,2.187538940536919
Q9V3L6,Nuclear cap-binding protein subunit 2,Cbp20,2.07267577016659,3.363237209342226
X2JKZ0;X2JE83;Q8IQZ6;M9MSB6;X2JCD6;M9MSE8;X2JFL7;Q8T498-2;Q8T498,Probable Ras GTPase-activating protein,CG42684,2.050225734891284,2.453911744126958
X2JAU8-7;X2JAU8-3;X2JAU8-4;X2JAU8-5;X2JAU8-6;X2JAU8-2;X2JAU8;X2JAU8-8;X2JAU8-9,,nwk,2.047747917773751,2.764116147157063
Q9VHC3,,by,2.031879520971284,2.568803723696183
Q9W3K6,,CG2258,2.017978199635242,2.482655502860732
Q9W4C3,Ubiquitin carboxyl-terminal hydrolase,Usp16-45,2.006852841065044,3.307152137597122
M9PJD0;E2QD98;X2JIZ6;X2JCZ1;M9NEZ2;Q6NR03;Q9W3H7;Q0KHU9;Q9W3H8;Q9W3H6;Q7KVT3;M9NG38,,sdt,2.000757130906786,2.510428111071167
